datetime,open,high,low,close
2023-01-04,1839.51001,1865.495,1835.92004,1854.08997
2023-01-05,1854.19495,1859.35999,1824.67505,1833.18994
2023-01-06,1833.26501,1870.37,1830.53003,1865.70996
2023-01-09,1865.45496,1881.80005,1864.58997,1871.58997
2023-01-10,1871.66003,1881.03503,1867.37,1877.27002
2023-01-11,1877.29504,1887.08997,1866.75,1876.38
2023-01-12,1876.42505,1901.875,1873.63501,1896.85999
2023-01-13,1897.03003,1922.23999,1891.80005,1920.20996
2023-01-16,1920.38501,1929.24219,1910.73999,1918.00061
2023-01-17,1917.81494,1919.82996,1903.505,1908.39001
2023-01-18,1908.46497,1926.29504,1896.55957,1903.76001
2023-01-19,1903.83496,1935.40002,1900.48499,1931.39001
2023-01-20,1931.47998,1937.71814,1920.57642,1926.57397
2023-01-23,1926.20496,1935.69055,1911.43506,1931.30005
2023-01-24,1931.35498,1942.92505,1916.82495,1937.44995
2023-01-25,1937.53503,1948.12,1919.88,1945.93005
2023-01-26,1946.09497,1949.27087,1918.745,1928.98999
2023-01-27,1929.40002,1935.14502,1916.64502,1927.33997
2023-01-30,1928.39502,1934.61499,1920.58496,1922.51733
2023-01-31,1922.81995,1931.15417,1900.745,1927.88
2023-02-01,1927.92004,1954.63,1920.56006,1950.42004
2023-02-02,1950.53503,1959.76941,1911.3291,1912.37
2023-02-03,1912.57495,1918.71997,1861.41492,1865.53003
2023-02-06,1865.16504,1881.53503,1860.38501,1867.35999
2023-02-07,1867.38501,1884.44775,1864.93518,1873.81006
2023-02-08,1874.04504,1886.28369,1867.40149,1875.58997
2023-02-09,1875.64001,1890.68994,1858.89014,1861.39001
2023-02-10,1861.68005,1872.31494,1852.69019,1864.67004
2023-02-13,1865.69495,1866.83447,1850.4176,1853.39001
2023-02-14,1853.67004,1871.03003,1843.19995,1854.29004
2023-02-15,1854.35498,1860.18188,1830.19995,1836.18994
2023-02-16,1836.56494,1845.45496,1827.18005,1837.43994
2023-02-17,1837.51501,1843.76501,1818.34497,1841.58997
2023-02-20,1842.73499,1847.85999,1837.09375,1841.14001
2023-02-21,1841.71497,1844.44495,1829.69995,1834.32324
2023-02-22,1834.70996,1846.255,1823.04504,1825.04004
2023-02-23,1825.12,1834.42505,1817.55005,1822.64001
2023-02-24,1822.745,1827.97937,1808.90503,1810.81006
2023-02-27,1812.005,1820.22498,1806.68201,1817.31006
2023-02-28,1817.375,1831.26501,1804.65002,1827.15002
2023-03-01,1827.245,1845.05005,1823.04639,1836.80505
2023-03-02,1837.20496,1838.93994,1829.43994,1836.00037
2023-03-03,1836.09998,1856.46997,1834.505,1854.96997
2023-03-06,1855.35498,1858.84497,1845.07996,1846.84998
2023-03-07,1846.92004,1852.26001,1812.72498,1813.52002
2023-03-08,1813.61499,1824.37817,1809.40161,1813.58997
2023-03-09,1813.65002,1835.56006,1811.83997,1830.89001
2023-03-10,1830.96497,1870.27954,1827.71497,1867.82996
2023-03-13,1869.01001,1914.79004,1869.01001,1913.23499
2023-03-14,1913.18994,1914.51501,1895.17004,1902.11707
2023-03-15,1903.91003,1937.45605,1885.7821,1918.09753
2023-03-16,1920.54004,1934.12,1907.54712,1919.11609
2023-03-17,1920.0,1989.79932,1918.32996,1987.93005
2023-03-20,1987.59497,2010.19495,1965.77002,1978.71216
2023-03-21,1979.17004,1985.30139,1935.41077,1940.14612
2023-03-22,1940.43506,1978.92505,1934.32996,1969.58105
2023-03-23,1967.91003,2003.43457,1964.38501,1993.5033
